Name,Country,Latitude,Longitude,Temperature(F),Wind Speed(mph),Cloud Coverage,Humidity
San Cristobal,VE,7.7669,-72.225,84.46999999999997,3.09,40,65
Cabo San Lucas,MX,22.8909,-109.9124,80.27599999999998,6.17,20,41
Aras,ES,42.5617,-2.356,43.06999999999996,4.12,20,81
Dikson,RU,73.5069,80.5464,-23.313999999999986,0.6,83,88
Ushuaia,AR,-54.8,-68.3,62.86999999999996,10.29,40,42
Harper,LR,4.375,-7.7169,79.55600000000004,4.01,95,87
Busselton,AU,-33.65,115.3333,64.27400000000002,1.34,4,87
Gizo Government Station,SB,-8.103,156.8419,82.72400000000002,2.8,84,73
Kapaa,US,22.0752,-159.319,75.46999999999997,8.23,90,73
Puerto Ayora,EC,-0.7393,-90.3518,84.46999999999997,2.57,20,70
Tasiilaq,GL,65.6145,-37.6368,21.469999999999956,11.83,90,86
Acapulco de Juárez,MX,16.8634,-99.8901,86.26999999999995,5.14,75,70
Mackay,AU,-21.15,149.2,75.27200000000005,2.57,58,94
Upernavik,GL,72.7868,-56.1549,-3.387999999999998,4.42,94,83
Bandarbeyla,SO,9.4942,50.8122,77.37799999999996,5.43,87,78
Naryan-Mar,RU,67.6713,53.087,-15.555999999999976,4.07,100,89
Angoulême,FR,45.65,0.15,40.26199999999996,2.57,0,70
Kashan,IR,33.9831,51.4364,57.038000000000046,2.3,0,33
Bluff,NZ,-46.6,168.3333,59.26999999999996,1.34,83,75
Matara,LK,5.9485,80.5353,77.0,4.81,93,84
Adrar,MR,20.5022,-10.0711,65.48000000000005,4.02,0,30
Atuona,PF,-9.8,-139.0333,79.77200000000005,5.95,70,70
Rio Grande,BR,-32.035,-52.0986,80.86999999999996,2.06,40,65
Cape Town,ZA,-33.9258,18.4232,62.27599999999999,1.03,0,67
Chemal,RU,51.4111,86.005,27.19399999999997,1.3,57,91
Aleksandrov Gay,RU,50.147,48.5704,30.793999999999972,5.69,100,97
Dunedin,NZ,-45.8742,170.5036,59.26999999999996,3.58,93,68
Isangel,VU,-19.55,169.2667,79.06999999999996,2.57,20,83
Qaanaaq,GL,77.484,-69.3632,-8.104000000000006,3.17,63,65
Faanui,PF,-16.4833,-151.75,82.88599999999997,9.64,100,73
Hobart,AU,-42.8794,147.3294,59.26999999999996,6.69,20,51
Luga,RU,58.7372,29.8453,9.248000000000022,1.5,68,96
Saint Paul Harbor,US,57.79,-152.4072,37.66999999999996,3.5,1,65
Nanortalik,GL,60.1432,-45.2371,29.948000000000025,6.1,100,96
Provideniya,RU,64.3833,-173.3,17.86999999999996,1.0,0,79
Honningsvåg,NO,70.9821,25.9704,21.469999999999956,4.63,0,68
Pangnirtung,CA,66.1451,-65.7125,-0.12999999999998835,1.09,75,78
Yatou,CN,37.15,122.3833,38.11999999999996,2.09,100,76
Dali,CN,25.7,100.1833,44.76199999999996,1.83,0,79
Saskylakh,RU,71.9167,114.0833,-29.721999999999987,1.59,69,82
Shenjiamen,CN,29.9576,122.298,51.116000000000014,3.26,98,91
Takaungu,KE,-3.6837,39.8566,80.86999999999996,2.57,20,74
Prince Rupert,CA,54.3161,-130.3201,46.66999999999996,2.57,1,66
Conde,BR,-7.2597,-34.9075,80.86999999999996,3.6,0,83
Quaraí,BR,-30.3875,-56.4514,80.05999999999997,2.66,19,42
Coyhaique,CL,-45.5752,-72.0662,59.26999999999996,4.63,75,51
Cidreira,BR,-30.1811,-50.2056,74.76799999999999,2.88,4,81
Upington,ZA,-28.4478,21.2561,70.06999999999996,2.06,0,24
New Norfolk,AU,-42.7826,147.0587,58.26199999999996,1.34,38,61
East London,ZA,-33.0153,27.9116,68.54000000000002,4.97,100,67
Camacha,PT,33.0833,-16.3333,59.26999999999996,5.66,40,72
Wau,SS,7.7029,27.9953,82.41799999999998,1.05,26,15
Sechura,PE,-5.5569,-80.8222,82.00399999999996,7.06,7,57
Kortkeros,RU,61.8106,51.5806,-5.529999999999994,5.0,0,77
Lumberton,US,34.6182,-79.0086,64.66999999999996,2.57,1,15
Ribeira Grande,PT,38.5167,-28.7,59.26999999999996,2.57,75,94
Norman Wells,CA,65.282,-126.8329,-0.12999999999998835,3.09,20,55
Manicoré,BR,-5.8092,-61.3003,75.46999999999997,1.54,40,94
Ilulissat,GL,69.2167,-51.1,17.86999999999996,2.06,75,73
Bathsheba,BB,13.2167,-59.5167,80.86999999999996,8.75,20,57
Kuybyshevo,RU,47.8123,38.9073,33.15199999999997,4.11,100,96
Shingū,JP,33.7333,135.9833,46.94000000000002,1.86,49,79
Jamestown,US,42.097,-79.2353,49.26199999999996,5.34,1,42
Butaritari,KI,3.0707,172.7902,80.86999999999996,5.03,100,79
Jasper,US,37.2001,-94.3502,70.06999999999996,7.2,1,23
Chui,UY,-33.6971,-53.4616,70.95199999999997,3.13,100,81
Belmonte,BR,-15.8631,-38.8828,84.46999999999997,4.12,20,79
Beşikdüzü,TR,41.052,39.2284,39.469999999999956,2.06,0,81
Praia,CV,14.9215,-23.5087,68.26999999999995,10.29,20,73
Tallahassee,US,30.4383,-84.2807,70.26799999999999,4.12,1,18
Takoradze,GH,4.8845,-1.7554,81.10399999999996,3.86,99,85
Muros,ES,42.7762,-9.0603,47.26400000000003,2.68,0,69
Morro Bay,US,35.3658,-120.8499,57.272000000000034,2.24,32,68
Arrondissement de Saint-Denis,FR,48.9167,2.3333,38.26400000000003,2.06,98,70
Bilibino,RU,68.0546,166.4372,-22.737999999999992,2.56,100,82
Haines Junction,CA,60.7522,-137.5108,16.069999999999958,1.54,0,48
Sabha,LY,27.0377,14.4283,73.75999999999999,2.15,93,21
Batié,BF,9.8833,-2.9167,89.88800000000005,1.77,100,37
Ahipara,NZ,-35.1667,173.1667,65.26400000000004,2.19,86,64
Soyo,AO,-6.1349,12.3689,79.95199999999997,2.45,58,84
Arraial do Cabo,BR,-22.9661,-42.0278,77.26999999999995,2.06,75,88
Kingsport,US,36.5484,-82.5618,61.069999999999965,3.09,40,11
Qui Nhon,VN,13.7667,109.2333,72.06799999999998,2.94,40,90
Beyneu,KZ,45.3167,55.2,33.27799999999996,4.01,100,85
Huarmey,PE,-10.0681,-78.1522,76.83800000000005,4.02,97,71
Carnarvon,AU,-24.8667,113.6333,77.26999999999995,3.6,18,100
Nome,US,64.5011,-165.4064,32.26999999999996,6.69,90,100
Hirara,JP,24.8,125.2833,70.32200000000003,2.14,53,75
Thompson,CA,55.7435,-97.8558,34.06999999999996,4.63,20,55
Paramonga,PE,-10.6667,-77.8333,75.57799999999997,3.04,94,75
Solnechnyy,RU,50.7214,136.6319,13.15399999999995,3.97,100,94
Marsh Harbour,BS,26.5412,-77.0636,68.59399999999997,10.78,95,67
Khatanga,RU,71.9667,102.5,-25.996000000000002,1.59,93,87
Villanueva,HN,15.3167,-88.0,75.46999999999997,2.57,90,88
Port Elizabeth,ZA,-33.918,25.5701,62.86999999999996,2.57,20,82
Buin,CL,-33.7333,-70.75,91.27400000000002,3.09,0,25
Bethel,US,41.3712,-73.414,41.26999999999996,3.6,1,24
Zhigalovo,RU,54.8097,105.1578,5.809999999999977,1.49,96,91
Meulaboh,ID,4.1363,96.1285,75.79399999999998,1.94,81,86
Bengkulu,ID,-3.8004,102.2655,75.16400000000004,1.75,100,65
Ouango,CF,4.3133,22.5552,75.25399999999996,0.93,30,56
Port Augusta,AU,-32.5,137.7667,64.66999999999996,5.66,0,72
Pacific Grove,US,36.6177,-121.9166,57.272000000000034,1.79,97,56
Hong Kong,HK,22.2855,114.1577,66.27200000000005,6.34,57,84
Beloha,MG,-25.1667,45.05,71.816,4.28,0,79
Belyy Yar,RU,53.6039,91.3903,34.06999999999996,5.0,0,69
Pevek,RU,69.7008,170.3133,-15.10599999999998,5.13,100,88
Vardø,NO,70.3705,31.1107,23.26999999999996,10.8,75,74
Shiyan,CN,32.6475,110.7781,39.84800000000003,0.57,49,84
Kidal,ML,18.4411,1.4078,81.66199999999995,4.26,0,16
Avera,US,33.194,-82.5271,66.46999999999997,2.06,1,18
Tuktoyaktuk,CA,69.4541,-133.0374,-21.72999999999999,2.57,1,76
Lingig,PH,8.0389,126.4125,75.00199999999998,2.66,100,88
Viranşehir,TR,37.2353,39.7631,43.898000000000025,1.47,0,61
Departamento de Maldonado,UY,-34.6667,-54.9167,77.26999999999995,4.63,20,73
Alofi,NU,-19.0595,-169.9187,82.66999999999996,5.14,75,78
Bredasdorp,ZA,-34.5322,20.0403,52.069999999999965,2.57,77,87
Syamzha,RU,60.0158,41.0614,-10.624000000000017,2.56,97,90
Longyearbyen,SJ,78.2186,15.6401,14.269999999999957,3.6,20,79
Harrison,US,30.4091,-89.0436,69.27799999999996,5.14,1,17
Castro,BR,-24.7911,-50.0119,66.39800000000002,0.98,37,88
Codrington,AU,-38.2667,141.9667,58.67599999999999,5.31,94,76
Tigil',RU,57.8,158.6667,-7.329999999999991,2.54,39,89
Kiama,AU,-34.6833,150.8667,70.26799999999999,0.45,15,82
Kara-Tyube,RU,44.6336,45.4369,34.32200000000004,3.25,71,90
San Quintín,MX,30.4833,-115.95,60.116000000000014,7.78,72,63
Banjarmasin,ID,-3.3244,114.591,73.66999999999996,2.57,75,100
Ambilobe,MG,-13.2,49.05,74.82200000000003,0.91,99,95
Poum,NC,-20.2333,164.0167,79.30399999999995,6.07,1,74
Hasaki,JP,35.7333,140.8333,41.26999999999996,4.12,75,81
Vestmannaeyjar,IS,63.4427,-20.2734,41.59399999999997,4.93,79,68
Svecha,RU,58.2785,47.5164,7.682000000000016,2.88,98,95
Sitka,US,57.0531,-135.33,37.66999999999996,1.54,75,81
Hithadhoo,MV,-0.6,73.0833,83.91199999999995,2.47,54,65
Basco,PH,20.4487,121.9702,76.40600000000003,6.8,50,81
Saint-Philippe,RE,-21.3585,55.7679,77.26999999999995,3.6,0,69
Launceston,AU,-41.45,147.1667,53.27599999999999,0.51,49,93
Ulaangom,MN,49.9811,92.0667,5.14399999999997,0.39,100,89
Turbat,PK,26.0023,63.044,58.83800000000005,0.74,0,83
Saint-Augustin,CA,51.226,-58.6502,20.06600000000001,2.84,83,95
Lanzhou,CN,36.0564,103.7922,41.26999999999996,0.18,50,56
Comodoro Rivadavia,AR,-45.8667,-67.5,73.66999999999996,5.66,0,28
Batagay-Alyta,RU,67.8006,130.4114,-19.929999999999993,1.41,34,77
Sioux Lookout,CA,50.1001,-91.917,48.469999999999956,3.09,40,40
Helena,US,46.5927,-112.0361,36.266000000000005,3.6,90,75
St. George's,GD,12.0564,-61.7485,82.66999999999996,9.77,20,74
Krasnyy Chikoy,RU,50.3643,108.7512,13.60399999999995,1.79,52,93
Pareora,NZ,-44.4871,171.2132,64.27400000000002,1.76,43,70
Sehwan,PK,26.4279,67.863,70.06999999999996,0.85,0,68
Saint-François,FR,46.4154,3.9054,41.26999999999996,1.03,0,70
Gamboula,CF,4.1178,15.1393,74.48000000000005,1.0,47,55
Necochea,AR,-38.5473,-58.7368,61.26799999999999,1.34,2,57
Lamar,US,33.6668,-95.5836,70.26799999999999,5.66,1,26
Kushima,JP,31.4583,131.2333,46.66999999999996,3.09,75,87
Bira,RU,49.0,132.4667,15.13399999999999,0.59,100,96
Lufilufi,WS,-13.8745,-171.5986,79.06999999999996,2.06,75,94
Sakaiminato,JP,35.55,133.2333,34.06999999999996,1.54,75,93
Kasungu,MW,-13.0333,33.4833,64.958,0.11,100,98
Obihiro,JP,42.9172,143.2044,13.55,0.83,3,89
Thohoyandou,ZA,-22.9456,30.485,71.41999999999996,1.99,17,73
Olavarría,AR,-36.8927,-60.3225,74.26400000000004,1.34,3,45
Tessalit,ML,20.1986,1.0114,76.81999999999996,4.43,0,17
Marquette,US,46.5333,-87.6335,43.06999999999996,3.09,40,65
Nemuro,JP,43.3236,145.575,27.158000000000005,2.26,0,91
Apricena,IT,41.7839,15.4437,48.469999999999956,1.54,75,100
Tateyama,JP,34.9833,139.8667,45.266000000000005,7.3,100,76
Esperance,AU,-33.8667,121.9,61.069999999999965,4.12,75,94
Baykit,RU,61.67,96.37,21.758000000000003,4.3,100,94
Karratha,AU,-20.7377,116.8463,79.25,3.51,8,82
Clyde River,CA,70.4692,-68.5914,-1.9299999999999926,2.54,90,84
Banyo,CM,6.75,11.8167,68.71999999999997,1.67,0,25
Sorong,ID,-0.8833,131.25,80.38399999999999,1.17,82,77
Marsabit,KE,2.3284,37.9899,70.60999999999999,3.6,2,55
Awjilah,LY,29.1081,21.2869,78.11600000000001,8.19,95,14
Airai,TL,-8.9266,125.4092,59.73800000000004,0.33,99,100
Abatskiy,RU,56.2875,70.4555,13.172000000000036,6.51,100,95
Mount Isa,AU,-20.7333,139.5,75.46999999999997,2.06,28,73
Xai-Xai,MZ,-25.0519,33.6442,73.52599999999998,5.23,0,76
Bend,US,44.0582,-121.3153,43.06999999999996,2.57,1,49
Iqaluit,CA,63.7506,-68.5145,10.669999999999959,4.12,90,79
Fortuna,US,40.5982,-124.1573,51.27799999999996,6.17,75,87
Cap Malheureux,MU,-19.9842,57.6142,77.26999999999995,1.34,0,80
Morondava,MG,-20.2833,44.2833,77.792,2.09,0,77
Ca Mau,VN,9.1769,105.15,75.52400000000002,2.03,84,85
Talnakh,RU,69.4865,88.3972,-9.166000000000011,1.57,98,88
Xochihuehuetlán,MX,17.9167,-98.4333,93.45199999999997,1.92,50,16
São Filipe,CV,14.8961,-24.4956,69.80000000000001,5.61,14,75
Jangipur,IN,24.4667,88.0667,67.73000000000005,0.64,0,49
Kiryat Gat,IL,31.61,34.7642,55.274000000000015,0.5,0,100
Salalah,OM,17.0151,54.0924,75.46999999999997,2.06,0,41
Kalakamati,BW,-20.5929,27.3121,69.98000000000005,2.11,34,55
Rio de Janeiro,BR,-22.9028,-43.2075,79.26799999999999,3.6,75,88
Española,US,35.9911,-106.0806,63.266000000000005,2.06,40,33
Santa Rosalía,MX,27.3167,-112.2833,74.69600000000005,1.58,91,34
Lompoc,US,34.6391,-120.4579,59.26999999999996,7.72,1,38
Batticaloa,LK,7.7102,81.6924,79.71799999999999,3.24,68,76
Raja,SS,8.4596,25.678,73.99399999999997,0.27,0,20
Batemans Bay,AU,-35.7167,150.1833,64.27400000000002,0.45,19,85
Tautira,PF,-17.7333,-149.15,88.06999999999996,8.23,75,66
Geraldton,AU,-28.7667,114.6,71.86999999999996,1.03,80,83
Lüderitz,NA,-26.6481,15.1594,65.642,3.52,0,63
La Ronge,CA,55.1001,-105.2842,28.66999999999996,5.14,0,40
Vila Franca do Campo,PT,37.7167,-25.4333,55.66999999999996,3.6,20,82
Matagami,CA,49.7502,-77.6328,21.469999999999956,6.69,90,73
Helmsdale,GB,58.1168,-3.6517,44.86999999999996,3.6,90,93
Amapá,BR,1.0,-52.0,74.96600000000001,1.4,100,96
Poyarkovo,RU,49.6,128.6833,20.425999999999988,5.04,71,95
Sikonge,TZ,-5.6333,32.7667,64.68800000000005,2.0,100,96
Muli,MV,2.9167,73.5667,83.22799999999997,3.8,48,74
Bud,US,39.447,-86.1758,65.26400000000004,8.23,40,25
Concepción,CL,-36.827,-73.0498,75.46999999999997,6.69,0,50
Mosquera,CO,4.7059,-74.2302,68.26999999999995,3.6,40,19
Cascais,PT,38.6979,-9.4215,55.274000000000015,7.72,20,82
Bemidji,US,47.4736,-94.8803,55.66999999999996,2.59,1,26
Sibu,MY,2.3,111.8167,73.66999999999996,1.03,40,94
Ponta do Sol,PT,32.6667,-17.1,61.069999999999965,2.57,40,67
Hlotse,LS,-28.8718,28.045,64.50800000000001,1.15,97,47
Naze,JP,28.3667,129.4833,62.924000000000014,2.06,50,86
Gejiu,CN,23.306,103.1635,48.866000000000014,2.29,53,100
Laas,IT,46.6166,10.7002,41.26999999999996,2.06,0,64
Charters Towers,AU,-20.1,146.2667,73.58000000000004,5.07,96,82
Baruun-Urt,MN,46.6806,113.2792,18.788000000000046,1.89,0,88
Ardabil,IR,38.2498,48.2933,37.219999999999956,2.37,0,79
Kruisfontein,ZA,-34.0033,24.7314,61.26799999999999,0.45,100,81
Carutapera,BR,-1.195,-46.02,76.60399999999996,3.75,100,93
Port-Gentil,GA,-0.7193,8.7815,80.86999999999996,3.09,20,89
Tomatlán,MX,19.9333,-105.25,92.01199999999996,5.77,0,24
Kavaratti,IN,10.5669,72.642,82.36400000000003,3.98,0,71
Kibala,TD,9.1104,18.3463,84.46999999999997,0.32,0,34
Jardim,BR,-21.4803,-56.1381,76.51400000000004,1.69,0,58
Zimapan,MX,20.75,-99.35,61.75399999999995,4.62,1,58
Mahébourg,MU,-20.4081,57.7,77.26999999999995,1.54,20,94
Puerto Maldonado,PE,-12.6,-69.1833,95.26999999999995,1.03,40,52
Hinton,CA,53.4001,-117.5857,37.66999999999996,1.54,100,32
Mar del Plata,AR,-38.0023,-57.5575,65.26400000000004,7.2,40,59
Coquimbo,CL,-29.9533,-71.3436,70.06999999999996,4.63,20,68
Havelock,US,34.8791,-76.9013,55.66999999999996,3.6,1,41
Wewak,PG,-3.5534,143.6268,78.96199999999996,2.36,100,79
Otane,NZ,-39.8833,176.6333,67.26199999999996,1.34,3,66
Pisco,PE,-13.7,-76.2167,80.86999999999996,4.12,0,57
Havre-St-Pierre,CA,50.2334,-63.5986,26.86999999999996,5.66,1,74
Dolores,AR,-36.3132,-57.6792,67.58599999999997,7.79,2,52
Wahiawā,US,21.5028,-158.0236,79.06999999999996,3.6,90,88
Mponela,MW,-13.5319,33.7401,63.877999999999965,0.25,100,98
Eslöv,SE,55.8393,13.3039,26.27599999999999,0.86,84,93
Penzance,GB,50.1186,-5.5371,39.272000000000034,2.06,20,81
Berdigestyakh,RU,62.0989,126.6992,-1.0480000000000231,1.3,97,92
Tuatapere,NZ,-46.1333,167.6833,60.27799999999996,2.24,81,73
Wanlaweyn,SO,2.6185,44.8938,73.32799999999997,3.24,73,85
Shalinskoye,RU,55.7228,93.7594,31.838000000000044,6.8,100,94
Ust'-Ilimsk,RU,58.0006,102.6619,18.301999999999975,6.18,100,92
Hervey Bay,AU,-25.2986,152.8535,80.27599999999998,1.34,1,64
Kelowna,CA,49.8831,-119.4857,46.274000000000015,2.57,1,49
Lavrentiya,RU,65.5833,-171.0,14.216000000000008,2.61,100,88
Ponta Delgada,PT,37.7333,-25.6667,55.66999999999996,3.6,20,82
Black Forest,US,39.0131,-104.7008,63.266000000000005,8.23,40,16
Hongjiang,CN,27.11,109.9956,48.469999999999956,1.01,98,88
Kuito,AO,-12.3833,16.9333,58.891999999999996,0.84,5,80
Rawson,AR,-43.3002,-65.1023,68.01799999999999,10.3,82,34
Abu Dhabi,AE,24.4667,54.3667,70.06999999999996,1.54,0,78
Nioro,GM,13.35,-15.75,82.868,5.17,0,17
Chalon-sur-Saône,FR,46.7833,4.85,41.26999999999996,1.79,2,73
Tongren,CN,27.7172,109.1853,48.01999999999996,1.71,100,85
Whitehorse,CA,60.7161,-135.0538,17.86999999999996,3.09,20,53
Ust'-Uda,RU,54.1742,103.0304,8.330000000000041,1.67,67,90
Port Macquarie,AU,-31.4333,152.9167,64.66999999999996,0.38,88,100
Zhoucheng,CN,35.9122,116.3117,44.38399999999999,2.51,100,86
Aklavik,CA,68.2191,-135.0107,1.669999999999959,2.06,0,60
Ust-Kuyga,RU,70.0167,135.6,-17.374000000000017,1.55,100,86
Noshiro,JP,40.2039,140.0242,30.416000000000007,2.4,55,93
Nikolskoye,RU,59.7035,30.7861,14.269999999999957,2.0,75,73
Kandrian,PG,-6.2167,149.55,78.80000000000001,1.45,100,84
Kamina,CD,-8.7386,24.9906,64.34600000000006,1.27,100,98
Yershov,RU,51.3513,48.2766,21.50600000000003,2.85,97,97
Atikokan,CA,48.7555,-91.6216,42.8,2.25,23,72
Massakory,TD,12.996,15.7293,78.65600000000003,5.18,0,12
Arlit,NE,18.7369,7.3853,82.54399999999998,1.68,97,15
Igrim,RU,63.1906,64.4162,-23.07999999999999,1.65,13,87
Kapit,MY,2.0167,112.9333,72.12200000000004,0.46,100,95
Touros,BR,-5.1989,-35.4608,80.86999999999996,3.6,20,78
Quatre Cocos,MU,-20.2078,57.7625,77.26999999999995,1.54,20,94
Mushie,CD,-3.0167,16.9,72.87799999999996,0.31,29,89
Assiniboia,CA,49.6334,-105.9845,43.06999999999996,3.09,100,49
Okhotsk,RU,59.3833,143.3,-12.262000000000008,3.62,1,80
Formosa,AR,-26.1775,-58.1781,91.66999999999996,5.14,0,40
Clarksburg,US,39.2807,-80.3445,57.469999999999956,4.12,1,15
Porto-Vecchio,FR,41.591,9.2795,52.069999999999965,4.12,90,93
Taltal,CL,-25.4,-70.4833,69.31400000000004,2.04,23,68
Lac-Mégantic,CA,45.5834,-70.8823,28.66999999999996,3.09,20,40
Kurumkan,RU,54.3,110.3,2.17400000000001,1.56,13,80
Constitución,CL,-35.3333,-72.4167,68.99000000000002,5.91,0,49
Skalat,UA,49.4273,25.9787,30.272000000000038,2.89,0,67
Karacabey,TR,40.2152,28.4038,35.86999999999996,0.51,0,93
Saint George,US,37.1041,-113.5841,76.26199999999996,8.75,1,11
Río Gallegos,AR,-51.6226,-69.2181,73.66999999999996,7.2,40,27
Tanete,ID,-3.9443,119.7848,76.892,1.16,58,82
Vao,NC,-22.6667,167.4833,75.39800000000002,6.46,12,72
Gua Musang,MY,4.8823,101.9644,67.67599999999999,0.51,73,92
Tabas,IR,33.5959,56.9244,62.45600000000003,3.09,24,27
Bagrāmī,AF,34.4938,69.2743,44.86999999999996,1.03,0,61
Birao,CF,10.2849,22.7882,78.98000000000005,1.74,0,16
Eyrarbakki,IS,63.863,-21.1481,35.86999999999996,2.06,40,80
Laguna,US,38.421,-121.4238,61.26799999999999,5.14,75,38
Jämsä,FI,61.8642,25.19,7.069999999999958,1.54,0,85
Half Moon Bay,US,37.4636,-122.4286,58.26199999999996,5.66,75,58
Rocha,UY,-34.4833,-54.3333,68.35999999999999,2.41,76,83
Stromness,GB,58.965,-3.296,43.06999999999996,5.66,90,93
Quang Ngai,VN,15.1167,108.8,70.26799999999999,2.35,34,90
Faya,SA,18.3851,42.4509,61.069999999999965,4.12,0,72
Torbay,CA,47.6666,-52.7314,29.26400000000003,3.09,75,63
Solwezi,ZM,-12.1688,26.3894,62.33000000000004,1.07,100,96
Presidente Venceslau,BR,-21.8761,-51.8439,76.118,1.94,41,79
Rehoboth,NA,-23.3167,17.0833,68.77400000000002,5.02,0,24
Mogadishu,SO,2.0371,45.3438,78.674,9.65,10,85
Nouadhibou,MR,20.931,-17.0347,63.59000000000002,11.97,0,80
Alcoentre,PT,39.2086,-8.9595,53.27599999999999,3.58,2,73
Burnie,AU,-41.0667,145.9167,55.274000000000015,5.81,35,68
Nichinan,JP,31.6,131.3667,46.66999999999996,3.09,75,87
Blagoyevo,RU,63.3667,47.9167,-20.578000000000017,2.52,38,86
Micomeseng,GQ,2.1462,10.6164,70.01600000000002,1.2,45,98
Stilfontein,ZA,-26.8449,26.7683,68.25199999999998,3.55,31,41
Tobermory,CA,45.2501,-81.6665,39.469999999999956,3.6,99,75
Banda Aceh,ID,5.5577,95.3222,78.40399999999995,4.31,23,81
Pimentel,PE,-6.8367,-79.9342,79.06999999999996,7.72,0,69
Tiksi,RU,71.6872,128.8694,-22.62999999999999,5.26,100,85
Mount Gambier,AU,-37.8333,140.7667,55.66999999999996,3.09,90,94
San Patricio,US,28.017,-97.5169,74.26400000000004,9.26,75,53
Te Anau,NZ,-45.4167,167.7167,55.958000000000006,1.66,97,66
Grand Gaube,MU,-20.0064,57.6608,77.26999999999995,1.34,0,80
São Félix do Xingu,BR,-6.6447,-51.995,75.70399999999995,0.57,88,92
El Bagre,CO,7.5927,-74.8086,83.51600000000002,0.86,100,82
Kalemie,CD,-5.9475,29.1947,66.55999999999997,1.95,97,85
Padang,ID,-0.9492,100.3543,75.46999999999997,0.51,40,100
Cape Canaveral,US,28.4058,-80.6048,68.26999999999995,7.2,1,45
Flagstaff,US,35.1981,-111.6513,61.26799999999999,11.32,1,21
Arima,TT,10.6333,-61.2833,80.86999999999996,5.14,20,65
Sabang,ID,5.8933,95.3214,81.59000000000003,6.35,22,81
Coahuayana Viejo,MX,18.7333,-103.6833,87.42200000000004,3.23,0,40
Itarema,BR,-2.9248,-39.9167,80.36600000000001,5.73,97,80
Husavik,IS,66.0449,-17.3389,37.66999999999996,6.69,0,70
Bac Lieu,VN,9.285,105.7244,78.49399999999997,5.9,95,78
Turukhansk,RU,65.8167,87.9833,9.841999999999995,4.53,100,95
Saint Stephen,GB,50.3333,-4.9,39.469999999999956,1.03,32,81
Bluffton,US,32.2371,-80.8604,57.469999999999956,3.09,1,33
Hay River,CA,60.8156,-115.7999,7.069999999999958,1.03,86,56
Marabu,MY,4.4148,114.0089,77.26999999999995,1.03,40,100
Mae Sai,TH,20.4335,99.8762,60.27799999999996,0.78,0,100
Bāfq,IR,31.6128,55.4107,61.66400000000003,2.44,0,26
Pasvalys,LT,56.0594,24.4036,16.069999999999958,3.6,40,86
Killybegs,IE,54.6333,-8.45,46.66999999999996,2.06,90,100
